,intervals,strike,loading_factor,average_pcf,old_premium,new_premium
0,1,0.7,1.1930398328565044,0.10859252139807109,0.12917975497856124,0.1295552035782211
1,2,0.7,1.192907638629549,0.09992054645638054,0.11708362726924752,0.11919598312385506
2,3,0.7,1.1969997200976374,0.09452090595799136,0.11022843301340877,0.11314149797509074
3,4,0.7,1.2014103079326284,0.08970537466601275,0.10084088902097459,0.10777296180070618
4,5,0.7,1.1886248257387486,0.09184271808487014,0.09753860683075866,0.1091665347790018
5,6,0.7,1.1831182135325669,0.09094498801226267,0.09562790868873552,0.10759867174680894
6,7,0.7,1.1827393929448335,0.09755260408990941,0.10170966563406823,0.11537930774148715
7,8,0.7,1.1942471392270988,0.10500305239603418,0.11233868598843737,0.12539959493407696
8,9,0.7,1.2092932101813627,0.11961601427383266,0.13881791205313174,0.1446508338903028
9,10,0.7,1.1942411867814533,0.1206413630046598,0.14030704205846012,0.14407488452961706
10,11,0.7,1.1996347106602767,0.12063689174881932,0.14425799738509962,0.14472020272805
11,1,0.75,1.1881977868136278,0.1234914312986578,0.14628450421216804,0.14673224535951235
12,2,0.75,1.1886947651692148,0.11440124061952328,0.1336927105704718,0.13598815585329108
13,3,0.75,1.192444657216789,0.10875557659666986,0.12666535383644437,0.12968500625523025
14,4,0.75,1.1950480138258825,0.10382976778304234,0.11725090377014839,0.12408155776512736
15,5,0.75,1.1878187328567738,0.10572906351956894,0.11383355188246526,0.1255869622559477
16,6,0.75,1.1810388146443123,0.10467622004841665,0.11163528951625154,0.12362667884742919
17,7,0.75,1.1790835168521385,0.11128415478860766,0.1177466921042318,0.13121331259806931
18,8,0.75,1.1892601114845658,0.11943165430073793,0.12902768817744975,0.14203530250848173
19,9,0.75,1.19701541814963,0.13469566480277437,0.15546403679334347,0.1612327875268354
20,10,0.75,1.1881176808807923,0.13583630540918157,0.1575084689150994,0.16138951616217184
21,11,0.75,1.1915554447922643,0.13549597767400326,0.16089916815636857,0.16145096994490965
22,1,0.8,1.182199705414824,0.13914577303043854,0.16399784469943918,0.16449809188630246
23,2,0.8,1.1842562379023158,0.12980711977377943,0.1512427219134184,0.15372489131623135
24,3,0.8,1.1879345591857071,0.12401085774426575,0.14412625750550814,0.14731678362867576
25,4,0.8,1.1887093891513003,0.11904038500897847,0.1347337289783474,0.14150442334835842
26,5,0.8,1.185098412178129,0.12076633648678109,0.13135836030512604,0.14311999361505393
27,6,0.8,1.1774983644904438,0.11954054216526211,0.12881395826838815,0.1407587928898971
28,7,0.8,1.1757803567628655,0.12607876526202572,0.13494400769166193,0.14824093560000617
29,8,0.8,1.1820793092008237,0.13481442206561384,0.14654227543624024,0.15936133890562912
30,9,0.8,1.1832878806922185,0.15041122904865836,0.1724446564587506,0.1779797844532988
31,10,0.8,1.1799024122282062,0.15165641512363978,0.17514317274869778,0.17893977003426478
32,11,0.8,1.1828901564251713,0.15106584467934703,0.17810422750046923,0.1786943006432534
33,1,0.85,1.1755433022929402,0.1554361769265678,0.18226035697532025,0.1827219567200472
34,2,0.85,1.1790381974477957,0.146021288683258,0.16961198383182316,0.1721646769981127
35,3,0.85,1.1819404551287445,0.1401783091447617,0.16243878326631622,0.1656824145097375
36,4,0.85,1.1820499287765784,0.13520440534325126,0.15316488244030754,0.15981835770626973
37,5,0.85,1.1793635787866819,0.13679920143059676,0.14980348312444489,0.16133599577434876
38,6,0.85,1.1716011531683637,0.13543187091735343,0.14697773139769751,0.15867213614252024
39,7,0.85,1.1708714766149053,0.14185323520255352,0.15311396239364902,0.1660919069642153
40,8,0.85,1.1728149855517407,0.15104028594370056,0.1647466002426839,0.17714231077679196
41,9,0.85,1.170844818936167,0.16663980826601224,0.1899310100411127,0.1951093561367767
42,10,0.85,1.1711348696491504,0.1679872079975616,0.19320236263729818,0.196735676940949
43,11,0.85,1.1739228409270972,0.16726353461838975,0.1959025334849405,0.19635448374272793
44,1,0.9,1.1681396997528437,0.17228265619303468,0.2009293730911266,0.20125021027795395
45,2,0.9,1.1718179058373313,0.16295845606785625,0.1885358293885339,0.19095763672792004
46,3,0.9,1.1743468269842738,0.15714130443640864,0.18142577657914966,0.18453839225306629
47,4,0.9,1.1749729728034535,0.15217537587602756,0.17237163140165335,0.178801953780539
48,5,0.9,1.1706127878691104,0.15369485449772655,0.1688746387134108,0.17991716210472097
49,6,0.9,1.1641309679860647,0.15220339621719384,0.1659212918952841,0.17718468696908843
50,7,0.9,1.1639972860095262,0.1584808238176235,0.17202682861782087,0.18447124880826762
51,8,0.9,1.1627340330620408,0.16797367860552886,0.18349844238418642,0.19530871277327366
52,9,0.9,1.1601136980191067,0.18326517532641654,0.20783936333542546,0.212608440266049
53,10,0.9,1.1626592106313292,0.18474532985048409,0.21161385396356577,0.21479585937178833
54,11,0.9,1.1651514897425752,0.1839681994973732,0.2141507298136311,0.2143508217096236
