i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
0,NOAA,2017,0.54,0.7,68,69,1.0,2206.77,82.81,490.4,525.33,258.85,183.6,0.1,0.06,0.03,230.94,1.49
1,NOAA,2017,0.54,0.75,68,69,1.0,2602.22,101.89,620.71,662.96,322.24,204.74,0.12,0.06,0.03,263.71,1.43
2,NOAA,2017,0.54,0.8,68,69,1.0,3037.1,122.69,774.99,823.77,403.95,224.02,0.13,0.06,0.04,297.37,1.33
3,NOAA,2017,0.54,0.85,68,69,1.0,3520.13,145.38,953.79,1008.54,506.0,240.82,0.15,0.06,0.04,331.39,1.23
4,NOAA,2017,0.54,0.9,68,69,1.0,4045.06,170.42,1158.72,1217.66,629.47,254.73,0.17,0.06,0.03,365.51,1.13
5,NOAA,2017,0.54,0.7,68,49,1.0,2553.12,65.93,442.04,483.0,256.43,178.06,0.09,0.06,0.03,153.62,1.13
6,NOAA,2017,0.54,0.75,68,49,1.0,2984.16,81.59,561.37,612.78,317.46,199.59,0.11,0.06,0.03,176.32,1.11
7,NOAA,2017,0.54,0.8,68,49,1.0,3456.13,99.39,706.67,765.23,396.03,219.88,0.12,0.06,0.03,199.82,1.08
8,NOAA,2017,0.54,0.85,68,49,1.0,3979.91,119.77,873.34,941.22,494.32,238.46,0.14,0.06,0.03,223.65,1.04
9,NOAA,2017,0.54,0.9,68,49,1.0,4551.55,143.12,1064.49,1141.22,613.53,255.1,0.15,0.06,0.03,247.7,1.01
10,NOAA,2017,0.54,0.7,68,29,1.0,3437.94,35.5,441.2,488.84,282.84,214.72,0.1,0.06,0.04,92.41,0.89
11,NOAA,2017,0.54,0.75,68,29,1.0,3925.24,49.02,564.0,619.8,346.81,241.84,0.11,0.06,0.04,105.94,0.89
12,NOAA,2017,0.54,0.8,68,29,1.0,4456.22,64.03,706.01,773.57,427.89,268.16,0.12,0.06,0.04,119.96,0.89
13,NOAA,2017,0.54,0.85,68,29,1.0,5035.79,84.27,869.27,951.0,528.41,293.26,0.14,0.06,0.04,134.13,0.88
14,NOAA,2017,0.54,0.9,68,29,1.0,5662.04,101.7,1053.67,1152.45,649.71,316.92,0.16,0.06,0.04,148.38,0.86
15,NOAA,2017,0.54,0.7,68,9,1.0,7346.79,0.0,410.04,471.94,335.26,323.24,0.1,0.07,0.06,29.55,0.48
16,NOAA,2017,0.54,0.75,68,9,1.0,8136.48,6.04,524.91,597.59,400.34,372.24,0.11,0.07,0.06,33.88,0.5
17,NOAA,2017,0.54,0.8,68,9,1.0,8969.26,20.94,658.7,745.85,479.65,422.46,0.12,0.08,0.07,38.36,0.51
18,NOAA,2017,0.54,0.85,68,9,1.0,9831.14,28.03,809.44,917.66,576.13,473.31,0.14,0.08,0.07,42.9,0.52
19,NOAA,2017,0.54,0.9,68,9,1.0,10729.7,36.28,982.06,1113.72,692.36,524.23,0.16,0.08,0.07,47.52,0.52
20,NOAA,2018,0.54,0.7,68,69,1.0,5676.73,0.0,409.85,478.85,322.7,320.57,0.1,0.07,0.06,29.55,0.48
21,NOAA,2018,0.54,0.75,68,69,1.0,6286.91,7.29,530.94,605.01,386.07,368.73,0.11,0.07,0.06,33.88,0.5
22,NOAA,2018,0.54,0.8,68,69,1.0,6930.39,35.81,667.23,753.36,462.29,418.1,0.12,0.08,0.07,38.36,0.51
23,NOAA,2018,0.54,0.85,68,69,1.0,7596.34,46.36,835.33,924.76,553.76,468.1,0.14,0.08,0.07,42.9,0.52
24,NOAA,2018,0.54,0.9,68,69,1.0,8290.65,57.61,1025.63,1119.9,662.67,518.2,0.16,0.08,0.07,47.52,0.52
25,NOAA,2018,0.54,0.7,68,49,1.0,5676.73,0.0,409.85,478.85,322.7,320.57,0.1,0.07,0.06,29.55,0.48
26,NOAA,2018,0.54,0.75,68,49,1.0,6286.91,7.29,530.94,605.01,386.07,368.73,0.11,0.07,0.06,33.88,0.5
27,NOAA,2018,0.54,0.8,68,49,1.0,6930.39,35.81,667.23,753.36,462.29,418.1,0.12,0.08,0.07,38.36,0.51
28,NOAA,2018,0.54,0.85,68,49,1.0,7596.34,46.36,835.33,924.76,553.76,468.1,0.14,0.08,0.07,42.9,0.52
29,NOAA,2018,0.54,0.9,68,49,1.0,8290.65,57.61,1025.63,1119.9,662.67,518.2,0.16,0.08,0.07,47.52,0.52
30,NOAA,2018,0.54,0.7,68,29,1.0,5676.73,0.0,409.85,478.85,322.7,320.57,0.1,0.07,0.06,29.55,0.48
31,NOAA,2018,0.54,0.75,68,29,1.0,6286.91,7.29,530.94,605.01,386.07,368.73,0.11,0.07,0.06,33.88,0.5
32,NOAA,2018,0.54,0.8,68,29,1.0,6930.39,35.81,667.23,753.36,462.29,418.1,0.12,0.08,0.07,38.36,0.51
33,NOAA,2018,0.54,0.85,68,29,1.0,7596.34,46.36,835.33,924.76,553.76,468.1,0.14,0.08,0.07,42.9,0.52
34,NOAA,2018,0.54,0.9,68,29,1.0,8290.65,57.61,1025.63,1119.9,662.67,518.2,0.16,0.08,0.07,47.52,0.52
35,NOAA,2018,0.54,0.7,68,9,1.0,5676.73,0.0,409.85,478.85,322.7,320.57,0.1,0.07,0.06,29.55,0.48
36,NOAA,2018,0.54,0.75,68,9,1.0,6286.91,7.29,530.94,605.01,386.07,368.73,0.11,0.07,0.06,33.88,0.5
37,NOAA,2018,0.54,0.8,68,9,1.0,6930.39,35.81,667.23,753.36,462.29,418.1,0.12,0.08,0.07,38.36,0.51
38,NOAA,2018,0.54,0.85,68,9,1.0,7596.34,46.36,835.33,924.76,553.76,468.1,0.14,0.08,0.07,42.9,0.52
39,NOAA,2018,0.54,0.9,68,9,1.0,8290.65,57.61,1025.63,1119.9,662.67,518.2,0.16,0.08,0.07,47.52,0.52
40,PDSI,2017,0.21,0.7,68,69,,1487.48,17.57,187.17,220.99,141.65,34.15,0.25,0.03,0.01,226.76,0.81
41,PDSI,2017,0.21,0.75,68,69,,1757.14,24.7,246.7,285.83,179.76,38.06,0.23,0.02,0.01,259.96,0.8
42,PDSI,2017,0.21,0.8,68,69,,2061.68,33.5,318.13,362.64,225.85,41.83,0.22,0.02,0.01,288.38,0.79
43,PDSI,2017,0.21,0.85,68,69,,2610.11,51.25,456.99,515.25,319.56,47.15,0.2,0.02,0.01,317.19,0.8
44,PDSI,2017,0.21,0.9,68,69,,3222.26,71.51,606.3,689.4,429.98,52.11,0.18,0.02,0.01,360.8,0.8
45,PDSI,2017,0.21,0.7,68,49,,1943.88,8.07,141.34,179.2,131.47,30.24,0.26,0.03,0.02,142.21,0.65
46,PDSI,2017,0.21,0.75,68,49,,2250.77,15.0,189.06,234.61,165.6,34.39,0.24,0.03,0.02,164.2,0.65
47,PDSI,2017,0.21,0.8,68,49,,2597.74,23.26,248.0,300.87,206.36,38.77,0.23,0.03,0.01,183.21,0.65
48,PDSI,2017,0.21,0.85,68,49,,3307.01,37.97,371.72,434.67,288.79,46.53,0.2,0.03,0.01,203.05,0.66
49,PDSI,2017,0.21,0.9,68,49,,4097.31,55.31,514.88,589.33,386.61,54.91,0.19,0.02,0.01,233.11,0.67
50,PDSI,2017,0.21,0.7,68,29,,3117.03,4.68,166.46,216.11,172.28,41.03,0.26,0.05,0.02,97.18,0.48
51,PDSI,2017,0.21,0.75,68,29,,3543.76,11.67,219.22,278.56,211.93,46.52,0.24,0.04,0.02,110.01,0.48
52,PDSI,2017,0.21,0.8,68,29,,4012.04,20.96,281.5,351.83,258.13,52.26,0.23,0.04,0.02,120.87,0.48
53,PDSI,2017,0.21,0.85,68,29,,4776.11,40.61,405.38,495.87,347.8,61.84,0.21,0.03,0.02,131.94,0.48
54,PDSI,2017,0.21,0.9,68,29,,5592.13,60.46,549.99,659.34,451.87,71.82,0.19,0.03,0.02,148.15,0.49
55,PDSI,2017,0.21,0.7,68,9,,7121.82,0.0,143.69,213.99,239.56,66.3,0.27,0.08,0.03,30.32,0.26
56,PDSI,2017,0.21,0.75,68,9,,7924.62,0.0,189.6,272.76,286.19,76.85,0.26,0.08,0.03,34.09,0.26
57,PDSI,2017,0.21,0.8,68,9,,8750.55,0.0,242.82,341.44,338.68,88.1,0.25,0.07,0.03,37.26,0.27
58,PDSI,2017,0.21,0.85,68,9,,9883.62,0.0,348.85,475.36,434.76,107.11,0.22,0.06,0.02,40.54,0.27
59,PDSI,2017,0.21,0.9,68,9,,11027.92,0.0,469.05,627.53,543.66,127.17,0.21,0.05,0.02,45.35,0.28
60,PDSI,2018,0.21,0.7,68,69,,5502.91,0.0,147.37,211.89,214.42,66.03,0.27,0.08,0.03,30.32,0.26
61,PDSI,2018,0.21,0.75,68,69,,6123.21,0.0,194.24,269.59,254.46,76.39,0.26,0.08,0.03,34.09,0.26
62,PDSI,2018,0.21,0.8,68,69,,6761.39,0.0,250.73,336.77,299.04,87.43,0.25,0.07,0.03,37.26,0.27
63,PDSI,2018,0.21,0.85,68,69,,7636.89,0.0,362.22,467.26,379.19,106.04,0.22,0.06,0.02,40.54,0.27
64,PDSI,2018,0.21,0.9,68,69,,8521.07,0.0,489.46,615.29,469.55,125.75,0.21,0.05,0.02,45.35,0.28
65,PDSI,2018,0.21,0.7,68,49,,5502.91,0.0,147.37,211.89,214.42,66.03,0.27,0.08,0.03,30.32,0.26
66,PDSI,2018,0.21,0.75,68,49,,6123.21,0.0,194.24,269.59,254.46,76.39,0.26,0.08,0.03,34.09,0.26
67,PDSI,2018,0.21,0.8,68,49,,6761.39,0.0,250.73,336.77,299.04,87.43,0.25,0.07,0.03,37.26,0.27
68,PDSI,2018,0.21,0.85,68,49,,7636.89,0.0,362.22,467.26,379.19,106.04,0.22,0.06,0.02,40.54,0.27
69,PDSI,2018,0.21,0.9,68,49,,8521.07,0.0,489.46,615.29,469.55,125.75,0.21,0.05,0.02,45.35,0.28
70,PDSI,2018,0.21,0.7,68,29,,5502.91,0.0,147.37,211.89,214.42,66.03,0.27,0.08,0.03,30.32,0.26
71,PDSI,2018,0.21,0.75,68,29,,6123.21,0.0,194.24,269.59,254.46,76.39,0.26,0.08,0.03,34.09,0.26
72,PDSI,2018,0.21,0.8,68,29,,6761.39,0.0,250.73,336.77,299.04,87.43,0.25,0.07,0.03,37.26,0.27
73,PDSI,2018,0.21,0.85,68,29,,7636.89,0.0,362.22,467.26,379.19,106.04,0.22,0.06,0.02,40.54,0.27
74,PDSI,2018,0.21,0.9,68,29,,8521.07,0.0,489.46,615.29,469.55,125.75,0.21,0.05,0.02,45.35,0.28
75,PDSI,2018,0.21,0.7,68,9,,5502.91,0.0,147.37,211.89,214.42,66.03,0.27,0.08,0.03,30.32,0.26
76,PDSI,2018,0.21,0.75,68,9,,6123.21,0.0,194.24,269.59,254.46,76.39,0.26,0.08,0.03,34.09,0.26
77,PDSI,2018,0.21,0.8,68,9,,6761.39,0.0,250.73,336.77,299.04,87.43,0.25,0.07,0.03,37.26,0.27
78,PDSI,2018,0.21,0.85,68,9,,7636.89,0.0,362.22,467.26,379.19,106.04,0.22,0.06,0.02,40.54,0.27
79,PDSI,2018,0.21,0.9,68,9,,8521.07,0.0,489.46,615.29,469.55,125.75,0.21,0.05,0.02,45.35,0.28
80,PDSIsc,2017,0.23,0.7,68,69,,1660.27,18.79,200.39,242.6,162.04,38.26,0.29,0.06,0.02,230.67,0.72
81,PDSIsc,2017,0.23,0.75,68,69,,1988.64,28.38,256.41,307.18,201.52,42.16,0.27,0.05,0.01,260.37,0.7
82,PDSIsc,2017,0.23,0.8,68,69,,2349.56,38.63,321.6,382.48,247.06,45.82,0.26,0.05,0.01,288.66,0.69
83,PDSIsc,2017,0.23,0.85,68,69,,2788.42,49.99,395.61,468.42,298.64,49.27,0.25,0.04,0.01,313.32,0.69
84,PDSIsc,2017,0.23,0.9,68,69,,3587.66,71.31,537.82,632.37,395.53,53.11,0.23,0.03,0.01,342.3,0.71
85,PDSIsc,2017,0.23,0.7,68,49,,2259.31,5.67,146.03,198.43,161.66,34.84,0.31,0.07,0.02,145.43,0.59
86,PDSIsc,2017,0.23,0.75,68,49,,2689.12,11.94,188.92,253.1,198.81,39.03,0.29,0.06,0.02,165.03,0.57
87,PDSIsc,2017,0.23,0.8,68,49,,3158.79,20.2,240.42,317.28,241.31,43.22,0.27,0.06,0.02,183.76,0.57
88,PDSIsc,2017,0.23,0.85,68,49,,3669.76,29.25,300.14,390.95,289.14,47.44,0.26,0.05,0.02,200.24,0.56
89,PDSIsc,2017,0.23,0.9,68,49,,4544.75,40.15,419.68,533.14,377.84,53.28,0.24,0.04,0.01,219.78,0.58
90,PDSIsc,2017,0.23,0.7,68,29,,3218.45,0.0,173.91,243.55,218.81,46.15,0.31,0.08,0.02,99.57,0.44
91,PDSIsc,2017,0.23,0.75,68,29,,3755.88,0.0,221.32,306.05,262.87,51.57,0.29,0.07,0.02,111.13,0.44
92,PDSIsc,2017,0.23,0.8,68,29,,4339.25,0.0,276.91,378.21,312.22,56.98,0.28,0.06,0.02,121.84,0.44
93,PDSIsc,2017,0.23,0.85,68,29,,4962.19,0.0,342.09,459.87,366.82,62.37,0.26,0.06,0.02,131.06,0.43
94,PDSIsc,2017,0.23,0.9,68,29,,5968.82,0.0,469.77,613.43,464.12,69.6,0.24,0.04,0.02,141.78,0.44
95,PDSIsc,2017,0.23,0.7,68,9,,4467.64,0.0,159.88,256.91,313.71,72.51,0.33,0.12,0.03,31.65,0.23
96,PDSIsc,2017,0.23,0.75,68,9,,5111.37,0.0,205.82,317.67,370.35,82.2,0.31,0.12,0.03,34.96,0.23
97,PDSIsc,2017,0.23,0.8,68,9,,5801.17,0.0,260.61,387.22,432.93,92.04,0.3,0.11,0.03,38.05,0.23
98,PDSIsc,2017,0.23,0.85,68,9,,6518.44,0.0,323.67,465.42,501.33,102.02,0.29,0.1,0.03,40.7,0.23
99,PDSIsc,2017,0.23,0.9,68,9,,7610.33,0.0,440.33,610.05,619.26,116.46,0.26,0.08,0.02,43.77,0.24
100,PDSIsc,2018,0.23,0.7,68,69,,3452.06,0.0,166.95,250.73,271.06,72.23,0.33,0.12,0.03,31.65,0.23
101,PDSIsc,2018,0.23,0.75,68,69,,3949.46,0.0,214.19,310.14,318.8,81.87,0.31,0.12,0.03,34.96,0.23
102,PDSIsc,2018,0.23,0.8,68,69,,4482.46,0.0,271.8,378.06,371.37,91.67,0.3,0.11,0.03,38.05,0.23
103,PDSIsc,2018,0.23,0.85,68,69,,5036.68,0.0,337.09,454.39,428.79,101.61,0.29,0.1,0.03,40.7,0.23
104,PDSIsc,2018,0.23,0.9,68,69,,5880.36,0.0,462.82,595.48,527.47,115.9,0.26,0.08,0.02,43.77,0.24
105,PDSIsc,2018,0.23,0.7,68,49,,3452.06,0.0,166.95,250.73,271.06,72.23,0.33,0.12,0.03,31.65,0.23
106,PDSIsc,2018,0.23,0.75,68,49,,3949.46,0.0,214.19,310.14,318.8,81.87,0.31,0.12,0.03,34.96,0.23
107,PDSIsc,2018,0.23,0.8,68,49,,4482.46,0.0,271.8,378.06,371.37,91.67,0.3,0.11,0.03,38.05,0.23
108,PDSIsc,2018,0.23,0.85,68,49,,5036.68,0.0,337.09,454.39,428.79,101.61,0.29,0.1,0.03,40.7,0.23
109,PDSIsc,2018,0.23,0.9,68,49,,5880.36,0.0,462.82,595.48,527.47,115.9,0.26,0.08,0.02,43.77,0.24
110,PDSIsc,2018,0.23,0.7,68,29,,3452.06,0.0,166.95,250.73,271.06,72.23,0.33,0.12,0.03,31.65,0.23
111,PDSIsc,2018,0.23,0.75,68,29,,3949.46,0.0,214.19,310.14,318.8,81.87,0.31,0.12,0.03,34.96,0.23
112,PDSIsc,2018,0.23,0.8,68,29,,4482.46,0.0,271.8,378.06,371.37,91.67,0.3,0.11,0.03,38.05,0.23
113,PDSIsc,2018,0.23,0.85,68,29,,5036.68,0.0,337.09,454.39,428.79,101.61,0.29,0.1,0.03,40.7,0.23
114,PDSIsc,2018,0.23,0.9,68,29,,5880.36,0.0,462.82,595.48,527.47,115.9,0.26,0.08,0.02,43.77,0.24
115,PDSIsc,2018,0.23,0.7,68,9,,3452.06,0.0,166.95,250.73,271.06,72.23,0.33,0.12,0.03,31.65,0.23
116,PDSIsc,2018,0.23,0.75,68,9,,3949.46,0.0,214.19,310.14,318.8,81.87,0.31,0.12,0.03,34.96,0.23
117,PDSIsc,2018,0.23,0.8,68,9,,4482.46,0.0,271.8,378.06,371.37,91.67,0.3,0.11,0.03,38.05,0.23
118,PDSIsc,2018,0.23,0.85,68,9,,5036.68,0.0,337.09,454.39,428.79,101.61,0.29,0.1,0.03,40.7,0.23
119,PDSIsc,2018,0.23,0.9,68,9,,5880.36,0.0,462.82,595.48,527.47,115.9,0.26,0.08,0.02,43.77,0.24
120,PDSIz,2017,0.23,0.7,68,69,1.0,951.11,23.27,207.42,248.98,162.45,70.86,0.2,0.01,0.03,237.17,1.34
121,PDSIz,2017,0.23,0.75,68,69,1.0,1019.04,24.93,222.23,266.77,174.06,75.92,0.21,0.01,0.03,237.17,1.34
122,PDSIz,2017,0.23,0.8,68,69,1.0,1307.65,34.74,291.96,352.12,230.65,84.75,0.19,0.01,0.03,279.42,1.26
123,PDSIz,2017,0.23,0.85,68,69,1.0,1646.13,46.68,377.24,455.17,299.43,92.59,0.18,0.01,0.03,322.68,1.19
124,PDSIz,2017,0.23,0.9,68,69,1.0,2036.66,61.01,476.63,576.94,381.2,99.46,0.17,0.01,0.03,365.72,1.19
125,PDSIz,2017,0.23,0.7,68,49,1.0,1131.68,20.04,190.47,227.89,151.61,77.25,0.21,0.01,0.03,158.13,1.12
126,PDSIz,2017,0.23,0.75,68,49,1.0,1212.52,21.47,204.08,244.17,162.44,82.76,0.21,0.01,0.03,158.13,1.12
127,PDSIz,2017,0.23,0.8,68,49,1.0,1535.66,29.94,271.86,324.19,216.37,94.75,0.2,0.01,0.03,187.3,1.09
128,PDSIz,2017,0.23,0.85,68,49,1.0,1945.09,40.48,353.69,421.35,282.06,106.72,0.18,0.01,0.03,217.31,1.07
129,PDSIz,2017,0.23,0.9,68,49,1.0,2411.57,53.58,450.3,536.71,360.27,118.73,0.17,0.01,0.03,247.38,1.09
130,PDSIz,2017,0.23,0.7,68,29,1.0,1613.05,19.17,200.11,246.6,168.86,100.65,0.21,0.02,0.04,99.98,0.85
131,PDSIz,2017,0.23,0.75,68,29,1.0,1728.27,20.54,214.4,264.22,180.92,107.84,0.21,0.02,0.04,99.98,0.85
132,PDSIz,2017,0.23,0.8,68,29,1.0,2116.61,29.44,286.06,347.96,237.41,122.7,0.2,0.02,0.04,117.54,0.84
133,PDSIz,2017,0.23,0.85,68,29,1.0,2560.3,40.13,372.86,448.96,305.5,137.06,0.18,0.01,0.04,135.39,0.83
134,PDSIz,2017,0.23,0.9,68,29,1.0,3059.39,53.24,473.65,568.19,385.91,150.8,0.18,0.01,0.04,153.14,0.84
135,PDSIz,2017,0.23,0.7,68,9,1.0,3185.2,0.92,191.38,239.89,180.84,144.73,0.22,0.04,0.06,31.42,0.45
136,PDSIz,2017,0.23,0.75,68,9,1.0,3412.71,0.98,205.05,257.03,193.76,155.06,0.22,0.04,0.06,31.42,0.45
137,PDSIz,2017,0.23,0.8,68,9,1.0,3991.9,5.47,272.92,337.88,250.42,180.27,0.21,0.04,0.06,36.8,0.46
138,PDSIz,2017,0.23,0.85,68,9,1.0,4612.82,12.93,354.37,435.51,318.27,206.24,0.19,0.03,0.06,42.27,0.47
139,PDSIz,2017,0.23,0.9,68,9,1.0,5280.69,24.48,451.48,550.85,397.86,232.62,0.19,0.03,0.05,47.71,0.48
140,PDSIz,2018,0.23,0.7,68,69,1.0,2461.15,0.96,194.56,237.48,162.78,142.09,0.22,0.04,0.06,31.42,0.45
141,PDSIz,2018,0.23,0.75,68,69,1.0,2636.94,1.03,208.45,254.44,174.4,152.24,0.22,0.04,0.06,31.42,0.45
142,PDSIz,2018,0.23,0.8,68,69,1.0,3084.47,5.74,275.25,333.89,223.69,176.48,0.21,0.04,0.06,36.8,0.46
143,PDSIz,2018,0.23,0.85,68,69,1.0,3564.24,13.57,354.89,429.75,282.6,201.4,0.19,0.03,0.06,42.27,0.47
144,PDSIz,2018,0.23,0.9,68,69,1.0,4080.29,25.7,449.76,543.0,352.0,226.76,0.19,0.03,0.05,47.71,0.48
145,PDSIz,2018,0.23,0.7,68,49,1.0,2461.15,0.96,194.56,237.48,162.78,142.09,0.22,0.04,0.06,31.42,0.45
146,PDSIz,2018,0.23,0.75,68,49,1.0,2636.94,1.03,208.45,254.44,174.4,152.24,0.22,0.04,0.06,31.42,0.45
147,PDSIz,2018,0.23,0.8,68,49,1.0,3084.47,5.74,275.25,333.89,223.69,176.48,0.21,0.04,0.06,36.8,0.46
148,PDSIz,2018,0.23,0.85,68,49,1.0,3564.24,13.57,354.89,429.75,282.6,201.4,0.19,0.03,0.06,42.27,0.47
149,PDSIz,2018,0.23,0.9,68,49,1.0,4080.29,25.7,449.76,543.0,352.0,226.76,0.19,0.03,0.05,47.71,0.48
150,PDSIz,2018,0.23,0.7,68,29,1.0,2461.15,0.96,194.56,237.48,162.78,142.09,0.22,0.04,0.06,31.42,0.45
151,PDSIz,2018,0.23,0.75,68,29,1.0,2636.94,1.03,208.45,254.44,174.4,152.24,0.22,0.04,0.06,31.42,0.45
152,PDSIz,2018,0.23,0.8,68,29,1.0,3084.47,5.74,275.25,333.89,223.69,176.48,0.21,0.04,0.06,36.8,0.46
153,PDSIz,2018,0.23,0.85,68,29,1.0,3564.24,13.57,354.89,429.75,282.6,201.4,0.19,0.03,0.06,42.27,0.47
154,PDSIz,2018,0.23,0.9,68,29,1.0,4080.29,25.7,449.76,543.0,352.0,226.76,0.19,0.03,0.05,47.71,0.48
155,PDSIz,2018,0.23,0.7,68,9,1.0,2461.15,0.96,194.56,237.48,162.78,142.09,0.22,0.04,0.06,31.42,0.45
156,PDSIz,2018,0.23,0.75,68,9,1.0,2636.94,1.03,208.45,254.44,174.4,152.24,0.22,0.04,0.06,31.42,0.45
157,PDSIz,2018,0.23,0.8,68,9,1.0,3084.47,5.74,275.25,333.89,223.69,176.48,0.21,0.04,0.06,36.8,0.46
158,PDSIz,2018,0.23,0.85,68,9,1.0,3564.24,13.57,354.89,429.75,282.6,201.4,0.19,0.03,0.06,42.27,0.47
159,PDSIz,2018,0.23,0.9,68,9,1.0,4080.29,25.7,449.76,543.0,352.0,226.76,0.19,0.03,0.05,47.71,0.48
160,EDDI-1,2017,0.41,0.7,68,69,1.0,1914.1,54.33,402.58,532.3,367.32,76.82,0.29,0.01,0.03,0.0,0.52
161,EDDI-1,2017,0.41,0.75,68,69,1.0,2255.04,66.85,492.44,649.84,449.07,82.99,0.3,0.01,0.03,0.0,0.53
162,EDDI-1,2017,0.41,0.8,68,69,1.0,2754.14,86.53,631.23,831.2,575.49,88.63,0.3,0.01,0.03,0.0,0.54
163,EDDI-1,2017,0.41,0.85,68,69,1.0,3175.18,103.03,752.06,988.02,684.63,93.58,0.3,0.01,0.02,0.0,0.55
164,EDDI-1,2017,0.41,0.9,68,69,1.0,3626.41,121.94,885.61,1162.58,805.99,97.86,0.3,0.01,0.02,0.0,0.55
165,EDDI-1,2017,0.41,0.7,68,49,1.0,1914.1,54.33,402.58,532.3,367.32,76.82,0.29,0.01,0.03,0.0,0.52
166,EDDI-1,2017,0.41,0.75,68,49,1.0,2255.04,66.85,492.44,649.84,449.07,82.99,0.3,0.01,0.03,0.0,0.53
167,EDDI-1,2017,0.41,0.8,68,49,1.0,2754.14,86.53,631.23,831.2,575.49,88.63,0.3,0.01,0.03,0.0,0.54
168,EDDI-1,2017,0.41,0.85,68,49,1.0,3175.18,103.03,752.06,988.02,684.63,93.58,0.3,0.01,0.02,0.0,0.55
169,EDDI-1,2017,0.41,0.9,68,49,1.0,3626.41,121.94,885.61,1162.58,805.99,97.86,0.3,0.01,0.02,0.0,0.55
170,EDDI-1,2017,0.41,0.7,68,29,1.0,2332.2,36.59,362.61,459.23,317.96,131.84,0.29,0.02,0.04,83.22,0.59
171,EDDI-1,2017,0.41,0.75,68,29,1.0,2727.74,45.24,444.25,562.63,388.21,145.59,0.3,0.01,0.03,94.63,0.61
172,EDDI-1,2017,0.41,0.8,68,29,1.0,3294.91,58.97,568.27,723.92,497.64,160.73,0.3,0.01,0.03,113.05,0.63
173,EDDI-1,2017,0.41,0.85,68,29,1.0,3775.93,71.77,675.21,864.24,592.84,173.38,0.3,0.01,0.03,126.09,0.63
174,EDDI-1,2017,0.41,0.9,68,29,1.0,4278.97,86.24,795.27,1021.75,699.61,185.29,0.3,0.01,0.03,139.4,0.63
175,EDDI-1,2017,0.41,0.7,68,9,1.0,4618.86,6.54,180.99,239.3,221.41,195.57,0.27,0.03,0.07,18.34,0.35
176,EDDI-1,2017,0.41,0.75,68,9,1.0,5340.67,18.73,228.49,296.72,262.06,222.51,0.31,0.03,0.07,21.18,0.37
177,EDDI-1,2017,0.41,0.8,68,9,1.0,6276.0,29.95,308.83,389.72,322.97,258.06,0.31,0.03,0.07,25.89,0.4
178,EDDI-1,2017,0.41,0.85,68,9,1.0,7072.81,39.41,379.81,472.37,377.03,288.85,0.32,0.03,0.07,29.31,0.41
179,EDDI-1,2017,0.41,0.9,68,9,1.0,7928.12,51.8,460.84,567.39,437.75,321.03,0.33,0.03,0.06,32.86,0.42
180,EDDI-1,2018,0.41,0.7,68,69,1.0,3635.42,7.72,174.86,229.18,191.46,186.84,0.27,0.03,0.07,18.34,0.35
181,EDDI-1,2018,0.41,0.75,68,69,1.0,4144.81,17.25,219.99,285.01,228.16,212.43,0.31,0.03,0.07,21.18,0.37
182,EDDI-1,2018,0.41,0.8,68,69,1.0,4846.91,27.65,294.56,375.49,283.6,245.97,0.31,0.03,0.07,25.89,0.4
183,EDDI-1,2018,0.41,0.85,68,69,1.0,5458.62,38.05,361.73,455.78,332.59,274.91,0.32,0.03,0.07,29.31,0.41
184,EDDI-1,2018,0.41,0.9,68,69,1.0,6100.83,53.91,440.02,548.05,387.55,305.03,0.33,0.03,0.06,32.86,0.42
185,EDDI-1,2018,0.41,0.7,68,49,1.0,3635.42,7.72,174.86,229.18,191.46,186.84,0.27,0.03,0.07,18.34,0.35
186,EDDI-1,2018,0.41,0.75,68,49,1.0,4144.81,17.25,219.99,285.01,228.16,212.43,0.31,0.03,0.07,21.18,0.37
187,EDDI-1,2018,0.41,0.8,68,49,1.0,4846.91,27.65,294.56,375.49,283.6,245.97,0.31,0.03,0.07,25.89,0.4
188,EDDI-1,2018,0.41,0.85,68,49,1.0,5458.62,38.05,361.73,455.78,332.59,274.91,0.32,0.03,0.07,29.31,0.41
189,EDDI-1,2018,0.41,0.9,68,49,1.0,6100.83,53.91,440.02,548.05,387.55,305.03,0.33,0.03,0.06,32.86,0.42
190,EDDI-1,2018,0.41,0.7,68,29,1.0,3635.42,7.72,174.86,229.18,191.46,186.84,0.27,0.03,0.07,18.34,0.35
191,EDDI-1,2018,0.41,0.75,68,29,1.0,4144.81,17.25,219.99,285.01,228.16,212.43,0.31,0.03,0.07,21.18,0.37
192,EDDI-1,2018,0.41,0.8,68,29,1.0,4846.91,27.65,294.56,375.49,283.6,245.97,0.31,0.03,0.07,25.89,0.4
193,EDDI-1,2018,0.41,0.85,68,29,1.0,5458.62,38.05,361.73,455.78,332.59,274.91,0.32,0.03,0.07,29.31,0.41
194,EDDI-1,2018,0.41,0.9,68,29,1.0,6100.83,53.91,440.02,548.05,387.55,305.03,0.33,0.03,0.06,32.86,0.42
195,EDDI-1,2018,0.41,0.7,68,9,1.0,3635.42,7.72,174.86,229.18,191.46,186.84,0.27,0.03,0.07,18.34,0.35
