i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
29,NOAA,2018,0.541589472,0.9,69,49,1,8270.415243,57.7001384,1028.115745,1121.236375,662.0810163,516.1572588,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
30,NOAA,2018,0.541589472,0.7,69,29,1,5662.280577,0,409.9296628,479.1978069,322.2993203,319.9919843,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
31,NOAA,2018,0.541589472,0.75,69,29,1,6270.804738,7.932528239,531.7956047,605.5424002,385.5448687,367.8925301,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
32,NOAA,2018,0.541589472,0.8,69,29,1,6913.587012,36.06525732,668.6282764,754.1229974,461.6511652,416.95646,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
33,NOAA,2018,0.541589472,0.85,69,29,1,7579.542596,46.39572498,837.5833734,925.7882632,553.1152387,466.5452522,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
34,NOAA,2018,0.541589472,0.9,69,29,1,8270.415243,57.7001384,1028.115745,1121.236375,662.0810163,516.1572588,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
35,NOAA,2018,0.541589472,0.7,69,9,1,5662.280577,0,409.9296628,479.1978069,322.2993203,319.9919843,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
36,NOAA,2018,0.541589472,0.75,69,9,1,6270.804738,7.932528239,531.7956047,605.5424002,385.5448687,367.8925301,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
37,NOAA,2018,0.541589472,0.8,69,9,1,6913.587012,36.06525732,668.6282764,754.1229974,461.6511652,416.95646,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
38,NOAA,2018,0.541589472,0.85,69,9,1,7579.542596,46.39572498,837.5833734,925.7882632,553.1152387,466.5452522,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
39,NOAA,2018,0.541589472,0.9,69,9,1,8270.415243,57.7001384,1028.115745,1121.236375,662.0810163,516.1572588,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
40,PDSI,2017,0.211563593,0.7,69,69,,99.0543603,0,0,0.091595517,1.941828764,,0.001391686,0.002985744,,0.02429272,
41,PDSI,2017,0.211563593,0.75,69,69,,87.56638638,0,0,0.09526429,1.770987587,,0.002227585,0.003840598,,0.034930215,
42,PDSI,2017,0.211563593,0.8,69,69,,108.9215523,0,0,0.140200542,2.272996989,,0.003565787,0.004973004,,0.050999623,
43,PDSI,2017,0.211563593,0.85,69,69,,131.4547036,0,0,0.203316794,2.852019953,,0.005776964,0.006467286,,0.073858921,
44,PDSI,2017,0.211563593,0.9,69,69,,154.8666058,0,0,0.291072281,3.507376366,,0.009258002,0.008516571,,0.10818559,
45,PDSI,2017,0.211563593,0.7,69,49,,60.96662382,0,0,0.036636235,1.135608672,,0.000924596,0.002585539,,0.011241041,
46,PDSI,2017,0.211563593,0.75,69,49,,74.78193816,0,0,0.054865914,1.468819038,,0.001619641,0.00362881,,0.015843078,
47,PDSI,2017,0.211563593,0.8,69,49,,88.95683635,0,0,0.079859527,1.846345513,,0.002764697,0.004971934,,0.020897774,
48,PDSI,2017,0.211563593,0.85,69,49,,107.4102323,0,0,0.112348497,2.282887154,,0.004667142,0.006738563,,0.028215768,
49,PDSI,2017,0.211563593,0.9,69,49,,133.755976,0,0,0.156048221,2.776779807,,0.007711212,0.009171539,,0.039381366,
50,PDSI,2017,0.211563593,0.7,69,29,,111.7711709,0,0,0.037733039,1.719513836,,0.001469298,0.004606292,,0.007544323,
51,PDSI,2017,0.211563593,0.75,69,29,,135.9454728,0,0,0.052925869,2.206993267,,0.002811208,0.006634635,,0.009656733,
52,PDSI,2017,0.211563593,0.8,69,29,,161.9463468,0,0,0.071883277,2.765208643,,0.005166068,0.009351417,,0.012221803,
53,PDSI,2017,0.211563593,0.85,69,29,,206.4129041,0,0,0.096525717,3.3951151,,0.009006535,0.01299155,,0.016295737,
54,PDSI,2017,0.211563593,0.9,69,29,,253.1879021,0,0,0.129419184,4.096831969,,0.014983862,0.01773772,,0.022632969,
55,PDSI,2017,0.211563593,0.7,69,9,,391.2562358,0,0,0.135218656,6.183672221,,0.003757317,0.013962746,,0.008600528,
56,PDSI,2017,0.211563593,0.75,69,9,,467.8323067,0,0,0.182612302,7.819501793,,0.006930203,0.018928436,,0.010562052,
57,PDSI,2017,0.211563593,0.8,69,9,,605.0250472,0,0,0.241463947,9.686246401,,0.011717286,0.02460936,,0.013428895,
58,PDSI,2017,0.211563593,0.85,69,9,,756.7666839,0,0,0.314741677,11.73509816,,0.018886235,0.032148045,,0.017578272,
59,PDSI,2017,0.211563593,0.9,69,9,,924.3220683,0,0,0.411929114,14.00374667,,0.029321853,0.042030988,,0.024141833,
60,PDSI,2018,0.211563593,0.7,69,69,,291.1406608,0,0,0.118339879,4.96274258,,0.003757317,0.013962746,,0.008600528,
61,PDSI,2018,0.211563593,0.75,69,69,,357.7212127,0,0,0.163612535,6.465289995,,0.006930203,0.018928436,,0.010562052,
62,PDSI,2018,0.211563593,0.8,69,69,,467.4919216,0,0,0.220652534,8.221548698,,0.011717286,0.02460936,,0.013428895,
63,PDSI,2018,0.211563593,0.85,69,69,,584.7399423,0,0,0.291958999,10.19601093,,0.018886235,0.032148045,,0.017578272,
64,PDSI,2018,0.211563593,0.9,69,69,,714.2069602,0,0,0.387429975,12.41301795,,0.029321853,0.042030988,,0.024141833,
65,PDSI,2018,0.211563593,0.7,69,49,,291.1406608,0,0,0.118339879,4.96274258,,0.003757317,0.013962746,,0.008600528,
66,PDSI,2018,0.211563593,0.75,69,49,,357.7212127,0,0,0.163612535,6.465289995,,0.006930203,0.018928436,,0.010562052,
67,PDSI,2018,0.211563593,0.8,69,49,,467.4919216,0,0,0.220652534,8.221548698,,0.011717286,0.02460936,,0.013428895,
68,PDSI,2018,0.211563593,0.85,69,49,,584.7399423,0,0,0.291958999,10.19601093,,0.018886235,0.032148045,,0.017578272,
69,PDSI,2018,0.211563593,0.9,69,49,,714.2069602,0,0,0.387429975,12.41301795,,0.029321853,0.042030988,,0.024141833,
