,Correlation
NOAA,0.3474
PDSI,0.6331
PDSISC,0.6094
PDSIZ,0.599
SPEI-1,0.4541
SPEI-2,0.4706
SPEI-3,0.5134
SPEI-6,0.6529
SPI-1,0.4664
SPI-2,0.4994
SPI-3,0.5455
SPI-6,0.67
