,Correlation
NOAA,0.4842
PDSI,0.6103
PDSISC,0.5972
PDSIZ,0.6477
SPEI-1,0.5555
SPEI-2,0.576
SPEI-3,0.5896
SPEI-6,0.6665
SPI-1,0.551
SPI-2,0.57
SPI-3,0.5795
SPI-6,0.6462
