,Correlation
NOAA,0.2331
PDSI,0.3513
PDSISC,0.3276
PDSIZ,0.3884
SPEI-1,0.296
SPEI-2,0.3219
SPEI-3,0.3451
SPEI-6,0.393
SPI-1,0.3006
SPI-2,0.3342
SPI-3,0.3603
SPI-6,0.417
