,Correlation
NOAA,0.3011
PDSI,0.4799
PDSISC,0.4635
PDSIZ,0.4982
SPEI-1,0.4267
SPEI-2,0.4423
SPEI-3,0.4703
SPEI-6,0.5348
SPI-1,0.4034
SPI-2,0.4258
SPI-3,0.4501
SPI-6,0.5177
