,Correlation
NOAA,0.2131
PDSI,0.2718
PDSISC,0.2631
PDSIZ,0.2608
SPEI-1,0.2119
SPEI-2,0.2216
SPEI-3,0.2292
SPEI-6,0.2622
SPI-1,0.2338
SPI-2,0.2422
SPI-3,0.2488
SPI-6,0.2774
