,Correlation
SPI-6,0.258
SPEI-6,0.2552
PDSI,0.2467
PDSIZ,0.2424
PDSISC,0.2365
SPI-3,0.2242
SPEI-3,0.2156
SPI-2,0.2115
SPEI-2,0.2041
SPI-1,0.1987
SPEI-1,0.1917
NOAA,0.1695
