,Correlation
NOAA,0.3415
PDSI,0.5414
PDSISC,0.5242
PDSIZ,0.5286
SPEI-1,0.4485
SPEI-2,0.464
SPEI-3,0.4865
SPEI-6,0.5632
SPI-1,0.4409
SPI-2,0.4661
SPI-3,0.4934
SPI-6,0.5549
