,Correlation
NOAA,0.2097
PDSI,0.313
PDSISC,0.2875
PDSIZ,0.3522
SPEI-1,0.2526
SPEI-2,0.2821
SPEI-3,0.3065
SPEI-6,0.3616
SPI-1,0.2621
SPI-2,0.2977
SPI-3,0.324
SPI-6,0.3877
