,Correlation
SPI-6,0.4006
SPEI-6,0.3692
PDSIZ,0.3616
SPI-3,0.3363
PDSI,0.3238
SPEI-3,0.3116
SPI-2,0.3116
PDSISC,0.2992
SPEI-2,0.2882
SPI-1,0.2781
SPEI-1,0.2602
NOAA,0.2194
