,Correlation
NOAA,0.3321
PDSI,0.4859
PDSISC,0.4696
PDSIZ,0.4908
SPEI-1,0.437
SPEI-2,0.4487
SPEI-3,0.4609
SPEI-6,0.5172
SPI-1,0.4231
SPI-2,0.4447
SPI-3,0.4638
SPI-6,0.5106
