,Correlation
NOAA,0.2273
PDSI,0.2848
PDSISC,0.2759
PDSIZ,0.2725
SPEI-1,0.2173
SPEI-2,0.229
SPEI-3,0.237
SPEI-6,0.2644
SPI-1,0.2415
SPI-2,0.2528
SPI-3,0.2611
SPI-6,0.2887
