,Correlation
SPEI-6,0.5596
SPI-6,0.5535
PDSI,0.5442
PDSIZ,0.5286
PDSISC,0.5228
SPEI-3,0.4782
SPI-3,0.4769
SPEI-2,0.4496
SPI-2,0.4476
SPEI-1,0.4319
SPI-1,0.4239
NOAA,0.3178
