,Correlation
NOAA,0.3113
PDSI,0.5389
PDSISC,0.5187
PDSIZ,0.5232
SPEI-1,0.4246
SPEI-2,0.4429
SPEI-3,0.4704
SPEI-6,0.5515
SPI-1,0.4207
SPI-2,0.4452
SPI-3,0.4741
SPI-6,0.5495
