,Correlation
SPI-6,0.4838
SPEI-6,0.4737
PDSIZ,0.4517
PDSI,0.4459
SPI-3,0.4256
PDSISC,0.4252
SPEI-3,0.4097
SPI-2,0.4083
SPEI-2,0.3951
SPI-1,0.3917
SPEI-1,0.383
NOAA,0.3142
